,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
10523,5632,11520,-15616,11008,-10240,15872,-13056,512,8960,14080
10524,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10525,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10526,-16128,-2816,-10496,-7680,9984,6400,-5120,-9728,9472,14080
10527,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10528,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10529,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10530,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10531,16128,-2560,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10532,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10533,5632,11520,-15616,11008,-9984,15872,-13056,512,8704,14080
10534,-4352,-7168,1280,-15872,9984,-12032,-4608,15104,14592,14080
10535,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10536,-16128,-2816,-10496,-7680,10240,6400,-5120,-9728,9472,14080
10537,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10538,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10539,4352,-7168,-1280,-15872,-10240,-11776,4608,15104,-14592,14080
10540,12800,-16128,-14848,14592,9984,3328,-15872,8704,-14848,14080
10541,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10542,13568,14336,8448,-2048,10240,-13824,12544,-14848,-512,14080
10543,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10544,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10545,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10546,-16128,-2560,-10496,-7680,10240,6400,-5120,-9728,9472,14080
10547,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10548,-5632,11520,15616,11008,9984,15872,13056,512,-8960,14080
10549,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10550,12800,-15872,-14848,14592,10240,3328,-15872,8704,-14848,14080
10551,16128,-2816,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10552,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10553,5632,11520,-15872,11008,-10240,15872,-13056,512,8960,14080
10554,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10555,-12800,-16128,14848,14592,-9984,3328,15872,8704,14848,14080
10556,-16128,-2816,-10496,-7680,10240,6400,-5120,-9728,9472,14080
10557,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14592,256,14080
10558,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10559,4352,-7168,-1280,-15872,-10240,-11776,4608,15104,-14592,14080
10560,12800,-15872,-14848,14592,9984,3328,-15872,8704,-14848,14080
10561,16128,-2560,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10562,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10563,5632,11520,-15616,11008,-10240,15872,-13056,512,8960,14080
10564,-4352,-7168,1280,-15872,9984,-12032,-4608,15104,14592,14080
10565,-12800,-15872,14848,14592,-10240,3328,15872,8704,14848,14080
10566,-16384,-2560,-10496,-7680,10240,6400,-5120,-9728,9472,14080
10567,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10568,-5632,11520,15616,11008,10240,15872,13056,512,-8960,14080
10569,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10570,12800,-15872,-15104,14592,10240,3328,-15872,8704,-14848,14080
10571,16128,-2560,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10572,13568,14336,8448,-2048,9984,-13824,12544,-14848,-256,14080
10573,5632,11520,-15616,11008,-10240,15872,-13056,512,8960,14080
10574,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10575,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10576,-16128,-2816,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10577,-13568,14336,-8448,-2048,-9984,-13824,-12544,-14848,256,14080
10578,-5632,11520,15616,11008,10240,15872,13056,512,-8704,14080
10579,4352,-7168,-1280,-15872,-10240,-11776,4608,15104,-14592,14080
10580,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10581,16128,-2816,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10582,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10583,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10584,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10585,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10586,-16128,-2816,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10587,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10588,-5632,11520,15616,11008,10240,15872,13056,512,-8704,14080
10589,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10590,12800,-15872,-14848,14592,10240,3328,-15872,8704,-14848,14080
10591,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10592,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10593,5632,11520,-15872,11008,-10240,15872,-13056,512,8704,14080
10594,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10595,-12800,-15872,14848,14592,-10240,3328,15872,8704,14848,14080
10596,-16128,-2816,-10496,-7680,10240,6400,-5120,-9728,9472,14080
