,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
1117,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1118,-6144,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1119,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1120,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1121,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1122,13824,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1123,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1124,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1125,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1126,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1127,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1128,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1129,4096,-6400,0,-16128,-8448,-13312,1792,15616,-15360,12288
1130,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1131,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1132,13568,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1133,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1134,-3840,-6400,0,-16128,8448,-13312,-1792,15616,15360,12288
1135,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1136,-16128,-3584,-9728,-6400,8448,4096,-7680,-11776,6400,12288
1137,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1138,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1139,3840,-6400,0,-16128,-8448,-13312,1792,15616,-15360,12288
1140,12544,-16128,-15360,13824,8448,5632,-15360,6144,-13568,12288
1141,16128,-3584,9472,-6400,-8704,4096,7680,-11776,-6400,12288
1142,13568,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1143,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1144,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1145,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1146,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1147,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1148,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1149,4096,-6400,0,-16128,-8448,-13312,1792,15616,-15360,12288
1150,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1151,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1152,13824,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1153,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1154,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1155,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1156,-16128,-3328,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1157,-13568,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1158,-6144,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1159,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1160,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1161,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1162,13568,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1163,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1164,-4096,-6400,0,-16128,8448,-13312,-1792,15616,15360,12288
1165,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1166,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1167,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1168,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1169,4096,-6656,0,-16128,-8448,-13312,1792,15616,-15360,12288
1170,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1171,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1172,13568,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1173,6144,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1174,-4096,-6400,0,-16128,8448,-13312,-1792,15616,15360,12288
1175,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1176,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1177,-13568,14080,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1178,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1179,4096,-6400,0,-16128,-8448,-13312,1792,15616,-15360,12288
1180,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1181,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1182,13568,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1183,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1184,-3840,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1185,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1186,-16128,-3328,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1187,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1188,-5888,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1189,4096,-6656,0,-16128,-8448,-13312,1792,15616,-15360,12288
1190,12544,-16128,-15360,13824,8448,5632,-15360,6144,-13568,12288
1191,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1192,13824,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1193,5888,12032,-15360,12288,-8704,15872,-14336,3584,11520,12288
1194,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1195,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1196,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1197,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1198,-6144,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1199,4096,-6400,0,-16128,-8448,-13312,1792,15616,-15360,12288
1200,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1201,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1202,13824,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1203,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1204,-4096,-6400,0,-16128,8448,-13312,-1792,15616,15360,12288
1205,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1206,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1207,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1208,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1209,4096,-6400,-256,-16128,-8448,-13312,1792,15616,-15360,12288
1210,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1211,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1212,13568,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1213,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1214,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1215,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1216,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1217,-13568,13824,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1218,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1219,4096,-6400,0,-16128,-8704,-13312,2048,15616,-15360,12288
1220,12544,-16128,-15360,13824,8448,5632,-15360,6144,-13568,12288
1221,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1222,13568,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1223,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1224,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1225,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1226,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1227,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1228,-6144,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1229,4096,-6400,0,-16128,-8448,-13312,1792,15616,-15360,12288
1230,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1231,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1232,13568,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1233,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1234,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1235,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1236,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1237,-13824,14080,-9472,-3584,-8704,-12544,-10752,-13312,-3072,12288
1238,-6144,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1239,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1240,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1241,16128,-3584,9728,-6400,-8448,4096,7680,-11776,-6400,12288
1242,13824,13824,9472,-3584,8448,-12544,10752,-13568,3072,12288
1243,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1244,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1245,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1246,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1247,-13568,13824,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1248,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1249,4096,-6656,0,-16128,-8704,-13312,1792,15616,-15360,12288
1250,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1251,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1252,13568,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1253,6144,12032,-15360,12032,-8448,15872,-14336,3584,11520,12288
1254,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1255,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1256,-16128,-3328,-9728,-6400,8448,4096,-7680,-11776,6400,12288
1257,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1258,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1259,4096,-6656,-256,-16128,-8448,-13312,2048,15616,-15360,12288
1260,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1261,16128,-3584,9472,-6400,-8448,4352,7680,-11776,-6400,12288
1262,13824,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1263,5888,12032,-15360,12288,-8448,15872,-14336,3584,11520,12288
1264,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1265,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1266,-16128,-3328,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1267,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1268,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1269,4096,-6656,0,-16128,-8448,-13312,2048,15616,-15360,12288
1270,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1271,16128,-3584,9472,-6400,-8704,4352,7680,-11776,-6400,12288
1272,13824,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1273,5888,12032,-15360,12288,-8704,15872,-14336,3584,11520,12288
1274,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1275,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1276,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1277,-13824,14080,-9472,-3584,-8704,-12544,-10752,-13312,-3072,12288
1278,-6144,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1279,4096,-6656,-256,-16128,-8448,-13312,1792,15616,-15360,12288
1280,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1281,16128,-3584,9472,-6400,-8448,4352,7680,-11776,-6400,12288
1282,13568,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1283,5888,12032,-15360,12288,-8704,15872,-14336,3584,11520,12288
1284,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1285,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1286,-16128,-3328,-9728,-6400,8448,4096,-7680,-11776,6400,12288
1287,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1288,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1289,4096,-6656,0,-16128,-8448,-13312,1792,15616,-15360,12288
1290,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1291,16128,-3584,9472,-6400,-8704,4096,7680,-11776,-6400,12288
1292,13568,13824,9472,-3584,8448,-12288,10752,-13312,3072,12288
1293,5888,12032,-15360,12032,-8448,15872,-14336,3584,11264,12288
1294,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1295,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1296,-16128,-3328,-9472,-6400,8448,4352,-7680,-11776,6400,12288
1297,-13568,14080,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1298,-5888,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1299,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1300,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1301,16128,-3584,9472,-6400,-8704,4096,7680,-11776,-6400,12288
1302,13568,14080,9472,-3584,8704,-12544,10752,-13568,3072,12288
1303,5888,12032,-15360,12032,-8448,15872,-14336,3584,11264,12288
1304,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1305,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1306,-16128,-3584,-9472,-6400,8448,4352,-7680,-11776,6400,12288
1307,-13568,14080,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1308,-5888,12032,15360,12288,8704,15872,14336,3584,-11520,12288
1309,4096,-6400,0,-16128,-8704,-13312,2048,15616,-15360,12288
1310,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1311,16128,-3328,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1312,13568,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1313,5888,12032,-15360,12032,-8704,15872,-14336,3584,11264,12288
1314,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1315,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1316,-16128,-3584,-9472,-6400,8704,4352,-7680,-11776,6400,12288
1317,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1318,-5888,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1319,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1320,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1321,16128,-3328,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1322,13824,13824,9472,-3584,8704,-12544,10752,-13312,3072,12288
1323,5888,12032,-15360,12032,-8448,15872,-14336,3584,11520,12288
1324,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1325,-12544,-16128,15360,13824,-8448,5632,15360,6144,13568,12288
1326,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1327,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1328,-5888,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1329,4096,-6656,0,-16128,-8448,-13312,2048,15616,-15360,12288
1330,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1331,16128,-3328,9472,-6400,-8448,4352,7680,-11776,-6400,12288
1332,13568,14080,9472,-3584,8448,-12544,10752,-13312,3072,12288
1333,5888,12032,-15360,12288,-8704,15872,-14336,3584,11264,12288
1334,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1335,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1336,-16128,-3584,-9728,-6400,8448,4352,-7680,-11776,6400,12288
1337,-13824,13824,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1338,-5888,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1339,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1340,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1341,16128,-3584,9472,-6400,-8448,4096,7680,-11776,-6400,12288
1342,13824,14080,9472,-3584,8704,-12544,10752,-13312,3072,12288
1343,5888,12032,-15360,12032,-8704,15872,-14336,3584,11520,12288
1344,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1345,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1346,-16128,-3584,-9472,-6400,8448,4352,-7680,-11776,6400,12288
1347,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1348,-6144,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1349,4096,-6656,0,-16128,-8704,-13312,2048,15616,-15360,12288
1350,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1351,16128,-3584,9728,-6400,-8704,4352,7680,-11776,-6400,12288
1352,13824,13824,9472,-3584,8448,-12544,10752,-13312,3072,12288
1353,5888,12032,-15360,12288,-8704,15872,-14336,3584,11520,12288
1354,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1355,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1356,-16128,-3584,-9728,-6400,8704,4352,-7680,-11776,6400,12288
1357,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1358,-5888,12032,15360,12288,8448,15872,14336,3584,-11264,12288
1359,4096,-6400,-256,-16128,-8704,-13312,2048,15616,-15360,12288
1360,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1361,16128,-3584,9472,-6400,-8704,4096,7680,-11776,-6400,12288
1362,13568,14080,9472,-3584,8448,-12544,10752,-13568,3072,12288
1363,5888,12032,-15360,12032,-8704,15872,-14336,3584,11264,12288
1364,-4096,-6400,0,-16128,8704,-13312,-2048,15616,15360,12288
1365,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1366,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1367,-13824,14080,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1368,-5888,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1369,4096,-6400,-256,-16128,-8704,-13312,2048,15616,-15360,12288
1370,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1371,16128,-3328,9472,-6400,-8704,4352,7680,-11776,-6400,12288
1372,13568,14080,9472,-3584,8448,-12544,10752,-13568,3072,12288
1373,5888,12032,-15360,12288,-8704,15872,-14336,3584,11264,12288
1374,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1375,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1376,-16128,-3328,-9728,-6400,8704,4352,-7680,-11776,6400,12288
1377,-13824,14080,-9472,-3584,-8704,-12544,-10752,-13312,-3072,12288
1378,-5888,12032,15360,12288,8448,15872,14336,3584,-11520,12288
1379,4096,-6400,0,-16128,-8704,-13312,2048,15616,-15360,12288
1380,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1381,16128,-3328,9472,-6400,-8448,4352,7680,-11776,-6400,12288
1382,13568,14080,9472,-3584,8704,-12544,10752,-13568,3072,12288
1383,5888,12032,-15360,12032,-8704,15872,-14336,3584,11264,12288
1384,-4096,-6656,0,-16128,8704,-13312,-2048,15616,15360,12288
1385,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1386,-16128,-3584,-9472,-6400,8448,4096,-7680,-11776,6400,12288
1387,-13824,13824,-9472,-3584,-8448,-12544,-10752,-13312,-3072,12288
1388,-5888,12032,15360,12032,8448,15872,14336,3584,-11520,12288
1389,4096,-6656,0,-16128,-8704,-13312,2048,15616,-15360,12288
1390,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1391,16128,-3328,9472,-6400,-8448,4352,7680,-11776,-6400,12288
1392,13568,13824,9216,-3584,8448,-12544,10752,-13568,3072,12288
1393,5888,12032,-15360,12032,-8448,15872,-14336,3584,11264,12288
1394,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1395,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1396,-16128,-3328,-9728,-6400,8448,4352,-7680,-11776,6400,12288
1397,-13824,13824,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1398,-5888,12032,15360,12288,8448,15872,14336,3328,-11520,12288
1399,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1400,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1401,16128,-3328,9472,-6400,-8704,4096,7680,-11776,-6400,12288
1402,13824,14080,9472,-3584,8448,-12544,10752,-13568,3072,12288
1403,5888,12032,-15360,12288,-8704,15872,-14336,3584,11264,12288
1404,-4096,-6400,0,-16128,8704,-13312,-2048,15616,15360,12288
1405,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1406,-16128,-3328,-9472,-6400,8448,4352,-7680,-11776,6400,12288
1407,-13824,13824,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1408,-5888,12032,15360,12032,8704,15872,14336,3584,-11520,12288
1409,4096,-6400,0,-16128,-8448,-13312,2048,15616,-15360,12288
1410,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1411,16128,-3328,9472,-6400,-8704,4352,7680,-11776,-6400,12288
1412,13568,13824,9472,-3584,8704,-12544,10752,-13568,3072,12288
1413,5888,12032,-15360,12288,-8704,15872,-14336,3584,11264,12288
1414,-4096,-6400,0,-16128,8704,-13312,-2048,15616,15360,12288
1415,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1416,-16128,-3328,-9728,-6400,8704,4352,-7680,-11776,6400,12288
1417,-13568,13824,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1418,-6144,12032,15360,12032,8704,15872,14336,3328,-11520,12288
1419,4096,-6656,-256,-16128,-8704,-13312,2048,15616,-15360,12288
1420,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1421,16128,-3584,9472,-6400,-8704,4096,7680,-11776,-6400,12288
1422,13568,13824,9472,-3584,8448,-12544,10752,-13568,3072,12288
1423,5888,12032,-15360,12288,-8704,15872,-14336,3584,11264,12288
1424,-4096,-6400,0,-16128,8704,-13312,-2048,15616,15360,12288
1425,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1426,-16128,-3584,-9472,-6400,8704,4096,-7680,-11776,6400,12288
1427,-13824,13824,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1428,-5888,12032,15360,12032,8704,15872,14336,3328,-11520,12288
1429,4096,-6400,0,-16128,-8704,-13312,2048,15616,-15360,12288
1430,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1431,16128,-3328,9472,-6400,-8704,4352,7680,-11776,-6400,12288
1432,13568,14080,9472,-3584,8704,-12544,10752,-13568,3072,12288
1433,5888,12032,-15360,12032,-8704,15872,-14336,3328,11264,12288
1434,-4096,-6400,0,-16128,8448,-13312,-2048,15616,15360,12288
1435,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1436,-16128,-3328,-9728,-6400,8704,4352,-7680,-11776,6400,12288
1437,-13824,14080,-9472,-3584,-8448,-12544,-10752,-13568,-3072,12288
1438,-6144,12032,15360,12032,8448,15872,14336,3584,-11264,12288
1439,4096,-6656,0,-16128,-8704,-13312,2048,15616,-15360,12288
1440,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1441,16128,-3328,9728,-6400,-8448,4352,7680,-11776,-6656,12288
1442,13824,14080,9472,-3584,8704,-12544,10752,-13568,3072,12288
1443,5888,12032,-15360,12032,-8704,15872,-14336,3584,11264,12288
1444,-4096,-6656,0,-16128,8704,-13312,-2048,15616,15360,12288
1445,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1446,-16128,-3328,-9472,-6400,8448,4352,-7680,-11776,6400,12288
1447,-13824,14080,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1448,-5888,12032,15360,12032,8704,15872,14336,3584,-11264,12288
1449,4096,-6656,0,-16128,-8704,-13312,2048,15616,-15360,12288
1450,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1451,16128,-3328,9472,-6400,-8704,4352,7680,-11776,-6400,12288
1452,13568,14080,9472,-3584,8448,-12544,10752,-13568,3072,12288
1453,5888,12032,-15360,12032,-8448,15872,-14336,3328,11264,12288
1454,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1455,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1456,-16128,-3584,-9728,-6400,8704,4352,-7680,-11776,6400,12288
1457,-13824,14080,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1458,-5888,12032,15360,12032,8448,15872,14336,3328,-11264,12288
1459,4096,-6400,0,-16128,-8704,-13312,2048,15616,-15360,12288
1460,12544,-16128,-15360,13824,8448,5632,-15616,6144,-13568,12288
1461,16128,-3328,9472,-6400,-8704,4352,7680,-11776,-6656,12288
1462,13568,13824,9472,-3584,8448,-12544,10752,-13568,3072,12288
1463,5888,12032,-15360,12032,-8704,15872,-14336,3584,11264,12288
1464,-4096,-6656,0,-16128,8448,-13312,-2048,15616,15360,12288
1465,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1466,-16128,-3584,-9728,-6400,8448,4352,-7680,-11776,6400,12288
1467,-13824,13824,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1468,-5888,12032,15360,12032,8704,15872,14336,3328,-11264,12288
1469,4096,-6400,-256,-16128,-8704,-13312,2048,15616,-15360,12288
1470,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1471,16128,-3328,9472,-6400,-8448,4352,7680,-11776,-6400,12288
1472,13824,14080,9472,-3584,8704,-12544,10752,-13568,3072,12288
1473,5888,12032,-15360,12032,-8704,15872,-14336,3584,11264,12288
1474,-4096,-6656,0,-16128,8704,-13312,-2048,15616,15360,12288
1475,-12544,-16128,15360,13824,-8704,5632,15616,6144,13568,12288
1476,-16128,-3584,-9728,-6400,8704,4352,-7680,-11776,6656,12288
1477,-13824,14080,-9472,-3584,-8704,-12544,-10752,-13568,-3072,12288
1478,-5888,12032,15360,12032,8704,15872,14336,3328,-11520,12288
1479,4096,-6400,-256,-16128,-8704,-13312,2048,15616,-15360,12288
1480,12544,-16128,-15360,13824,8704,5632,-15616,6144,-13568,12288
1481,16128,-3328,9472,-6400,-8704,4096,7680,-11776,-6656,12288
1482,13568,14080,9472,-3584,8704,-12544,10752,-13568,3072,12288
1483,5888,12032,-15360,12032,-8704,15872,-14336,3328,11264,12288
1484,-4096,-6400,0,-16128,8704,-13312,-2048,15616,15360,12288
1485,-12544,-16128,15360,13824,-8448,5632,15616,6144,13568,12288
1486,-16128,-3584,-9728,-6400,8448,4352,-7680,-11776,6656,12288
1487,-13824,14080,-9472,-3584,-8704,-12544,-11008,-13568,-3072,12288
1488,-5888,12032,15360,12032,8704,15872,14336,3328,-11264,12288
1489,4096,-6400,0,-16128,-8704,-13312,2048,15616,-15360,12288
